Date	Time	Session	Speaker	Affiliation / Role	Location	Talk Title
April 24	9:00 – 9:25	Registration		-	-	-
April 24	9:25 – 9:40	Opening ceremony		-	-	Opening address, group photo
April 24	9:40 – 10:10	Opening Lecture	Qiang Hu	Shenzhen University of Advanced Technology	Shenzhen, China	Microalgae: Bridging Ecology, Bioresource Technology, and the Sustainable Bioeconomy
April 24	10:10 – 10:10	Session 1	Moderator: André Antunes	University of Saint Joseph	Macau, China	-
April 24	10:10 – 10:30	Session 1	Miguel Pombo	Azores Life Science/Ignae	Portugal	Powerful actives from the natural marine and aquatic resources of the Azores
April 24	10:30 – 10:50	Session 1	Pedro Lima	CEO and co-founder of Sea4Us	Portugal	Marine inspired molecules for therapies of neurological unmet clinical needs
April 24	10:50 – 11:10	Session 1	James Chang	Managing Director, Geb Impact Technology	Hong Kong, China	How Microalgae Revolutionize the Future of Protein
April 24	11:10 – 11:50	Coffee Break		-	-	Networking
April 24	11:50 – 11:50	Session 2	Moderator: Thomas Lei	University of Saint Joseph	Macau, China	-
April 24	11:50 – 12:10	Session 2	Yu Rencheng	Professor, Institute of Oceanology, Chinese Academy of Sciences	Qingdao, China	Monitoring harmful algal blooms to protect seafood safety
April 24	12:10 – 12:30	Session 2	Manuela Pintado	UCP and Blue Biotech	Portugal	-
April 24	12:30 – 12:50	Session 2	Wen-Jun Li	Distinguished Professor, Sun Yat-Sen University	Guangzhou, China	Frontier Exploration and Application Expansion of Marine Microbial Resources
April 24	12:50 – 14:30	Lunch		-	-	For Speakers only
April 24	14:30 – 14:30	Session 3	Moderator: David Gonçalves	University of Saint Joseph	Macau, China	-
April 24	14:30 – 14:50	Session 3	Wei Yu	CEO & Founder, Xiaozao Tech	Shenzhen, China	Why Nannochloropis can be NEXT Gen of synbio chassis for bioactives?
April 24	14:50 – 15:10	Session 3	Helena Abreu	President, International Seaweed Association	Portugal	From Research to Industry: Portugal's Algae Innovation Landscape
April 24	15:10 – 15:30	Session 3	Jorge Dias	CEO of SPAROS LDA	Portugal	Nutrition Optimization: Towards a sustainable aquaculture production of fish and shrimp
April 24	15:30 – 15:50	Session 3	Liu Chunfang	Senior Product Manager, Zhuhai Biori Biotechnology	Zhuhai, China	Innovative Development of Raw Materials for Molecular Diagnostic Reagents
April 24	15:50 – 16:10	Session 3	Danxiang Han	Founder and CEO of Demeter Biotech	Zhuhai, China	The Path to Green Biomanufacturing of Fucoxanthin and Its Applications
April 24	16:10 – 16:40	Coffee Break		-	-	Networking
April 24	16:40 – 16:40	Session 4	Moderator: Muhammad Bashir Saidu	Sustainable Development Association	Macau, China	-
April 24	16:40 – 17:00	Session 4	Pedro Rodrigues	Associate Director, Universidade Católica Portuguesa	Porto, Portugal	Sustainable and Health-focused AI-based Decision Support Systems in Biotechnology and Biomedicine
April 24	17:00 – 17:20	Session 4	Wang Yong	Professor, Tsinghua Shenzhen International Graduate School	Shenzhen, China	In situ sampling from the deep ocean for high-value natural products
April 24	17:20 – 17:40	Session 4	Simon Lee	Chair Professor, Hong Kong Polytechnic University	Hong Kong, China	Cnidarian peptide: a new source of various ion channel modulators and hormone signaling molecules against central nervous systems disease
April 24	17:40 – 18:00	Session 4	Pedro Pousão	Researcher, Portuguese Institute for Sea and Atmosphere	Portugal	Meeting the challenges in seafood research: aquaculture and bioprospection
April 24	Evening	Gala Dinner		-	Macau, China	For Speakers only
April 25	9:00 – 9:00	Session 5	Moderator: Manuela Pintado	Universidade Católica Portuguesa	Porto, Portugal	-
April 25	9:00 – 9:20	Session 5	Angela Kam	Marketing Director, Macau International Carbon Emission Exchange	Macau, China	Macao International Carbon Exchange, Green Development, Marine Technology, and Green Projects
April 25	9:20 – 9:40	Session 5	Chan Yi Ngok	Director, Pudong-Hong Kong Institute for Technology Transfer and Innovation	Hong Kong, China	On transfer of sustainable technology: the Hong Kong-Pudong experience
April 25	9:40 – 10:00	Session 5	Benedita Chaves	Innovation Director of LiPOR	Portugal	From trash to treasure – an innovation strategy
April 25	10:00 – 10:20	Session 5	André Antunes	Associate Professor, University of Saint Joseph	Macau, China	Bridging the gap between geo- and biosciences: Biotechnological applications of biominerals
April 25	10:20 – 10:50	Coffee Break		-	-	Networking
April 25	10:50 – 10:50	Session 6	Moderator: Karen Tagulao	University of Saint Joseph	Macau, China	-
April 25	10:50 – 11:10	Session 6	Manuela Pintado	Director, Universidade Católica Portuguesa	Porto, Portugal	Creating Value from Agrifood losses and waste
April 25	11:10 – 11:30	Session 6	Luis Rochartre Álvares	Senior Advisor, Planetiers New Generation	Portugal	From Sustainability to Regeneration: What Changes?
April 25	11:30 – 11:50	Session 6	Deepa Alex Mora	Founder and Managing Director, BioMyne	Macau, China	Macau-Hengqin: Bridging Sustainable Biotech Innovation Across Borders
April 25	11:50 – 12:10	Session 6	Débora Campos	Founder and CEO, AgroGrIN Tech	Portugal	Boosting Pineapple Side-Streams to Zero: Steps towards Scale-Up (Pep4Fish Project)
April 25	12:10 – 12:30	Session 6	Isabel Braga da Cruz	Pro-Rector for Sustainability, Universidade Católica Portuguesa	Porto, Portugal	Sustainability in Action: The Case of Universidade Católica Portuguesa - Towards Social and Economic Impact
April 25	12:30 – 12:40	Closing Remarks		-	-	-
April 25	12:40 – 14:30	Lunch		-	-	For Speakers only
April 25	15:00 – 17:00	Sustainability Tour		-	-	Visit to SANDS China sustainability facilities (For Speakers only)
