Name	Title/Position	Affiliation	Location	Biography
		Profiles of Speakers		

Qiang Hu 胡强 	Chair  Professor  and  Head,  Department  of  Engineering  Biology,  Faculty  of  Synthetic 	Biology, Shenzhen University of Advanced Technology (SUAT) (Shenzhen, China) 		  Dr. Qiang Hu is a Chair Professor and Head of Department of Engineering Biology, Faculty of  Synthetic Biology, Shenzhen University of Advanced Technology, Shenzhen, China. He also is  an  Adjunct  Professor  in  the  Institute  of  Synthetic  Biology,  Shenzhen  Institutes  of Advanced  Technology, Chinese Academy of Sciences. Prior to these positions, Dr. Hu was Professor and  co-Director of the Laboratory for Algae Research and Biotechnology and co-Director of the  Arizona Center for Algae Technology and Innovation at Arizona State University. He has over  40 years of experience in fundamental and applied research on algae on topics ranging from  photosynthesis,  biosynthesis  of  lipids  and  carotenoids,  growth  physiology  of  high-density  algal   culture,   photobioreactor   system   design,   and   applications   of   algal   mass   culture  technology  for  biofuels  and  chemicals,  and  for  environmental  bioremediation.  He  was  the  President (2021-2024) and outgoing President (2025-2027) of International Society for Applied  Phycology.  Currently,  he  is  an  Associate  Editor  of  Algae  and  an  editorial  board  member  of  Journal of Applied Phycology, Applied Phycology and Phycology.

Miguel Pombo 	Founder - Azores Life Science / Ignae (Azores, Portugal)  	 		Having graduated from Nova University in Lisbon, Miguel has worked in public and regulatory  affairs for international clients in the fields of food, cosmetics, pharma, communications and  airline companies. He founded Azores Life Science in 2012, the parent company of Ignae, a  skincare brand available in  many  prestigious retailers  around  the world.  Azores  Life  Science  uses AI and genomics to identify extremophilic microorganisms from Azores Islands and their  application in pharma, food, cosmetics and industrial processes.

Pedro A. Lima 	President of the Board, CEO, CSO and co-founder - Sea4US (Lisbon, Portugal) 	Professor, Nova Medical School - Universidade NOVA de Lisboa (Lisbon, Portugal) 		  CEO and co-founder of Sea4Us where, he also leads the Research & Development area. Pedro  is also a Professor in the Nova Medical School in Lisbon. During his +9 years in Sea4Us, he  dedicated all his drive to Tech transfer. His goal is to revolutionise Pain Management, aligned  with a coherent creation of economic value. At Sea4Us, he placed his two main core expertise  and  areas  of  knowledge  into  a  differentiating  concept.  Those  areas  are  Neurosciences  (biophysics  and  Pharmacology  of  Ion-channels)  and  Marine  Biology.  In  Marine  life  lies  an  immense  diversity  of  compounds  that  represent  a  true  'new  chemistry'  to  be  explored  for  differentiating  medications.  This  is  more  than  a  strong  belief;  it  is  also  an  exciting  business  model.

James Chang 	Managing Director - Geb Impact Technology (Hong Kong, China) 	 		I was born and raised in Hong Kong and moved to the U.S. after earning my undergraduate  degree from the University of Washington. With more than thirty years of experience in the  semiconductor  industry,  I  ultimately  served  as  the  Worldwide  Sales  Director  for Polysilicon  Material at MEMC.  In 2013, I returned to Hong Kong and established Geb Impact Technology, where I concentrate  on  sustainable  microalgae  applications.  Furthermore,  I  hold  both  an  MSc  and  an  MBA,  demonstrating   my   dedication   to   integrating   business   knowledge   with   environmental  sustainability throughout my career.

 	Speaker TBC 	(China) 		

Yu Rencheng 于仁成 	Professor - Institute  of  Oceanology,  Chinese  Academy  of  Sciences  (IOCAS)  (Qingdao, 	China) 		  Yu  Rencheng is  a  researcher  at  the  Institute  of  Oceanology,  Chinese  Academy  of  Sciences  (IOCAS), and currently serves as a distinguished researcher at CAS, as well as a Professor at the  University  of  Chinese  Academy  of  Sciences.  He  also  holds  important  roles  in  the  EASTHAB  Scientific  Advisory  Committee,  WESTPAC  Harmful  Algal  Blooms  Working  Group,  Water  Environment Division of the Chinese Society of Oceanology and Limnology, and the Chinese  Society of Oceanology.    His main research areas include the processes and mechanisms of coastal ecosystem evolution,  methods for analyzing and detecting toxic and harmful algae and algal toxins, ecological and  oceanographic mechanisms behind the formation and evolution of harmful algal blooms, as  well as the harmful effects of these blooms and ecological safety studies.    In the past five years, he has led more than 10 national-level projects and published over 200  papers in academic journals domestically and internationally. He has also contributed to the  compilation of several monographs. On the international collaboration front, he participated  in  the  establishment  of  the  China-Portugal  STARLab  and  the  Sino-Portugal  Joint  Lab  for  Marine   and   Environmental   Sciences,   through   which   he   developed   solid   cooperative  relationships  with  renowned  research  institutions  in  countries such  as  Portugal,  France,  and  Australia.

Wen-Jun Li 李文均 	Distinguished Professor, School of Life Sciences - Sun Yat-Sen University (Guangzhou, 	China) 		  Wen-Jun  Li  received  his  PhD  in  Microbiology  from  Shenyang  Institute  of  Applied  Ecology,  Chinese Academy of Sciences in 2002. He is currently working as Distinguished Professor in  School of Life Sciences, Sun Yat-Sen University, Guangzhou, China. His publications include 10  monographs,   30   authorized   patents,   and   more   than   700   peer   reviewed   papers  (https://www.researchgate.net/profile/Wen-Jun-Li)  as  the  first or  corresponding authors.  His  research mainly focuses on microbial diversity under those unusual environments (including  marine, salt lake, desert and hot spring ecosystems) by using culture-dependent and culture- independent  methods,  and  also  on  microbial  ecology  and  evolution.  He  was  awarded  the  WFCC (The World Federation for Culture Collections) Skerman award for microbial taxonomy,  and  other  10  leading  awards  for  his  outstanding  research  contributions  on  the  field  of  microbial systematics and microbial ecology.    He is serving as editorial board members or Associate Editors of more than 10 International  journals, and he was appointed as membership of International Committee on Systematics of  Prokaryotes (ICSP) since 2017, and President of Bergey’s International Society for Microbial  Systematics (BISMiS, https://www.bismis.net/bismislive.html) since December of 2023.

Wei Yu 俞威 	CEO and Founder - Xiaozao Tech/Lyxia 小藻科技(安吉)有限公司 (Shenzhen, China) 	 		Wei Yu is the founder of Lyxia/Xiaozao Tech, a biotechnology company he established in 2012.  For  the  past  12  years,  Wei  has  dedicated  his  career  to  advancing  microalgae-based  technologies. He holds a Ph.D. in Biomedical Engineering from UCLA and a Bachelor’s degree  in Biomedical Engineering from Zhejiang University.    Xiaozao Tech specializes in the innovation, cultivation, and processing of microalgae-derived  specialty  ingredients.  Utilising  its  proprietary  Phototrophic  cellular  platform,  the  company  harnesses the potential of Nannochloropsis- a single-cell green algae - to produce high-value  bioactive  components  on  a  commercial  scale.  These  components  include  polar  lipids,  EPA  (eicosapentaenoic  acid),  polysaccharides,  proteins/peptides,  and  more,  offering  sustainable  and innovative solutions for various industries.

Helena Abreu 	President - International Seaweed Association (Aveiro, Portugal) 	 		Helena  Abreu  is  a  marine biologist  with  over  20  years  of  expertise  in  seaweed,  integrating  scientific  research,  entrepreneurship,  and  sustainability.  Her  career  began  in  the  Azores,  focusing on taxonomy and ecology, but a passion for seaweed aquaculture led her to explore  Integrated  Multi-Trophic  Aquaculture  (IMTA).  During  her  Ph.D.  and  research  career  across  Portugal, the USA, Chile, and Ireland, she developed expertise in seaweed cultivation systems,  species diversity, and biomass applications.    In 2011, Helena co-founded ALGAplus, pioneering organic-certified IMTA seaweed farming in  Europe.  Under  her  leadership,  the  company  became  a  market  leader,  securing  funding,  expanding market networks, and driving industry awareness. After leaving ALGAplus in early  2024,   she   transitioned   to independent   consulting,   advising   on   innovation,   business  development, and international collaborations in the seaweed sector.    Beyond her consulting work, Helena contributes to global seaweed initiatives as President of  the  International  Seaweed Association  (ISA,  2023-2025)  and  Strategic  Advisor  to  the  Global  Seaweed  Coalition.  She  actively  fosters  knowledge  exchange,  industry  collaboration,  and  sustainable development in alignment with global sustainability goals.    A  strong  advocate  for  community  impact, Helena  has  supervised  over  30  graduate  and  postgraduate   students,   published   extensively   on   seaweed   ecology,   cultivation,   and  applications,  and  is  a  sought-after  speaker  at  international  conferences.  Her  mission  is  to  advance sustainable marine resource management, connect stakeholders across the seaweed  value chain, and ensure that marine resources are valued and utilized responsibly for future  generations.    https://www.linkedin.com/in/helena-abreu-seaweed   https://orcid.org/0000-0002-7630-3185

Jorge Dias 	Co-founder and CEO - SPAROS Lda. (Olhão, Portugal) 	 		Jorge  Dias  is  the  Co-founder  and  CEO  of  SPAROS  LDA (www.sparos.pt),  a  science  and  technology driven company dedicated to the development and testing of new products and  tailored  nutritional  solutions  for  the  aquaculture  market.  He  holds  a  PhD  in  Biomedical  Sciences (specialty Nutrition) by the University of Bordeaux I (France) and University of Porto  (Portugal), and an MSc in Food Technology by the University of Bordeaux I (France). Prior to  founding SPAROS, he was  a  scientist at DSM Nutritional  Products.  He has  authored 4  book  chapters and more than 100 peer-review papers on the topic of fish nutrition. His expertise  covers  the  areas  of  nutritional  requirements  of  fish  and  shrimp;  feed  formulation;  extrusion  technology;  and  the  practical  development  of  additives  and  functional  raw  materials  in  aquaculture feeds.

Shi Yanxi 时彦祎 	Founder - Zhuhai Biori Biotechnology Co., Ltd. (Zhuhai, China) 	 		Mr. Shi Yanxi is the founder of Zhuhai Biori Biotechnology Co., Ltd. Focusing on the upstream  core  raw  materials  sector  of  bio-manufacturing,  Zhuhai  Biori    Biotechnology  Co.,  Ltd.  is  a  national  high-tech  enterprise,  a  specialized,  refined,  unique,  and  innovative  ""little  giant""  enterprise,  and  the  Guangdong  Molecular  Diagnostic  Enzyme  Engineering  Technology  Research  Center.  Biori  Biotech  has  established  several  technological  platforms  including  enzyme   evolution   and   screening,   aptamer   screening,   antibody   development,   gene  engineering   expression,   protein   process   development,   and   raw   material   application  development. In the fields of fluorescence quantitative PCR, isothermal amplification, freeze- dried  reagents  for  molecular  diagnostics,  it  has  launched  a  full  range  of  high-performance  enzyme  raw  materials  and  premix  products  that  can  provide  comprehensive  technical  solutions   for   molecular   diagnostic   reagent   manufacturers.   Additionally,   Biori   Biotech  continuously expands in the biomedicine field, with mRNA vaccine enzyme raw materials and  biopharmaceutical process  residue  detection  reagents  gaining  recognition  and  cooperation  from numerous well-known enterprises.        Speaker TBC  (China)  

Pedro Rodrigues 	Vice-Dean  for  Lifelong  Learning  and  Partnerships  of  the  Faculty  of  Biotechnology - 	Universidade Católica Portuguesa (ESB-UCP) (Porto, Portugal) 		  Pedro Miguel Rodrigues (B.Sc., M.Sc., and Ph.D. in Biomedical Engineering) is a Professor and  the  Vice-Dean  for  Lifelong  Learning  and  Partnerships  of  the  Faculty  of  Biotechnology -  Universidade Católica Portuguesa (ESB-UCP). He is also an integrated member of the Centre  for  Biotechnology  and  Fine  Chemistry  of  UCP  (CBQF-UCP),  Porto,  Portugal.  He  is  the  coordinator of the postgraduate course in Data Science in Biotechnology and Co-coordinator  of the Bioengineering degree at ESB-UCP. He is responsible for Curricular Units of signal and  image processing, computer programming, artificial intelligence, and machine learning. He has  published  more  than  90  articles  in  international  peer-reviewed  scientific  journals,  book  chapters, and conference articles on the interface between Artificial Intelligence and Medicine.   He holds a technological patent that analyzes EEG signals via AI algorithms for asymptomatic  or early diagnosis of Alzheimer's disease. His research areas focus on digital signal processing  and artificial intelligence applied to diagnose neurodegenerative, cardiac, and speech diseases  and on the development of biosensors, electronic instrumentation tools, microcontrollers, and  smart tools for fast controlling and monitoring sustainable living cities & spaces and agri-food  & biological/biomedical systems.

